Index,Variant,region,Location code,ISO3,Type,Year,total_pop_january,total_pop_july,male_pop_july,female_pop_july,pop_density_july,sex_ratio_july,age_median_july,life_expectancy_birth,male_life_expectancy_birth,female_life_expectancy_birth,infant_mortality_rate_per_thou,under_5_deaths
25,Estimates,World,900,,World,1974, 3 958 800, 3 996 416, 1 999 751, 1 996 665,30.6,100.2,20.5,58.1,55.9,60.2,90.9,  16 577
26,Estimates,World,900,,World,1975, 4 034 032, 4 070 735, 2 037 388, 2 033 348,31.2,100.2,20.7,58.3,56.1,60.5,89.6,  16 151
27,Estimates,World,900,,World,1976, 4 107 439, 4 144 246, 2 074 548, 2 069 699,31.8,100.2,20.8,58.6,56.4,60.7,88.1,  15 790
28,Estimates,World,900,,World,1977, 4 181 054, 4 217 864, 2 111 748, 2 106 116,32.3,100.3,21,59.2,56.9,61.4,86.4,  15 369
29,Estimates,World,900,,World,1978, 4 254 674, 4 292 098, 2 149 212, 2 142 885,32.9,100.3,21.1,59.5,57.3,61.8,84.7,  15 100
30,Estimates,World,900,,World,1979, 4 329 521, 4 368 540, 2 187 840, 2 180 699,33.5,100.3,21.3,60.2,57.9,62.5,82.5,  14 873
31,Estimates,World,900,,World,1980, 4 407 558, 4 447 606, 2 227 983, 2 219 623,34.1,100.4,21.5,60.5,58.2,62.9,80.6,  14 737
32,Estimates,World,900,,World,1981, 4 487 655, 4 528 777, 2 269 262, 2 259 516,34.7,100.4,21.6,60.9,58.5,63.3,78.7,  14 599
33,Estimates,World,900,,World,1982, 4 569 900, 4 612 673, 2 311 809, 2 300 864,35.4,100.5,21.7,61.3,58.9,63.8,76.6,  14 513
34,Estimates,World,900,,World,1983, 4 655 447, 4 697 328, 2 354 687, 2 342 640,36,100.5,21.8,61.5,59.1,64,76.1,  14 471
35,Estimates,World,900,,World,1984, 4 739 208, 4 782 176, 2 397 609, 2 384 567,36.7,100.5,21.9,61.9,59.5,64.3,74.6,  14 345
36,Estimates,World,900,,World,1985, 4 825 143, 4 868 943, 2 441 487, 2 427 456,37.3,100.6,22,62.2,59.8,64.7,72.9,  14 202
37,Estimates,World,900,,World,1986, 4 912 744, 4 958 073, 2 486 673, 2 471 400,38,100.6,22.2,62.7,60.3,65.2,70.8,  14 010
38,Estimates,World,900,,World,1987, 5 003 402, 5 049 746, 2 533 271, 2 516 476,38.7,100.7,22.4,63.2,60.8,65.6,68.6,  13 739
39,Estimates,World,900,,World,1988, 5 096 091, 5 141 993, 2 580 079, 2 561 914,39.4,100.7,22.6,63.4,61,65.8,68,  13 684
40,Estimates,World,900,,World,1989, 5 187 894, 5 234 432, 2 627 005, 2 607 427,40.1,100.8,22.8,63.8,61.4,66.3,66.2,  13 358
41,Estimates,World,900,,World,1990, 5 280 970, 5 327 803, 2 674 705, 2 653 098,40.9,100.8,22.9,64,61.5,66.4,64.9,  13 205
42,Estimates,World,900,,World,1991, 5 374 637, 5 418 736, 2 721 137, 2 697 599,41.6,100.9,23.1,64.1,61.6,66.5,64.9,  12 953
43,Estimates,World,900,,World,1992, 5 462 835, 5 505 990, 2 765 447, 2 740 543,42.2,100.9,23.3,64.3,61.8,66.8,64.1,  12 566
44,Estimates,World,900,,World,1993, 5 549 145, 5 591 545, 2 809 184, 2 782 361,42.9,101,23.5,64.4,61.9,67,62.9,  12 179
45,Estimates,World,900,,World,1994, 5 633 945, 5 675 551, 2 851 675, 2 823 876,43.5,101,23.8,64.3,61.8,66.9,62,  11 943
46,Estimates,World,900,,World,1995, 5 717 157, 5 758 879, 2 893 336, 2 865 543,44.2,101,24,64.9,62.4,67.5,60.8,  11 636
47,Estimates,World,900,,World,1996, 5 800 600, 5 842 056, 2 935 092, 2 906 963,44.8,101,24.2,65.2,62.7,67.7,59.6,  11 360
48,Estimates,World,900,,World,1997, 5 883 511, 5 924 788, 2 976 691, 2 948 097,45.4,101,24.4,65.5,63.1,68,58.3,  11 069
49,Estimates,World,900,,World,1998, 5 966 065, 6 007 067, 3 018 501, 2 988 566,46.1,101,24.7,65.7,63.3,68.2,57.1,  10 834
50,Estimates,World,900,,World,1999, 6 048 069, 6 089 006, 3 060 198, 3 028 809,46.7,101,24.9,66,63.6,68.5,55.5,  10 464
51,Estimates,World,900,,World,2000, 6 129 944, 6 171 703, 3 102 258, 3 069 445,47.3,101.1,25.1,66.4,64,68.9,53.7,  10 180
52,Estimates,World,900,,World,2001, 6 213 462, 6 254 936, 3 144 579, 3 110 358,48,101.1,25.3,66.8,64.3,69.2,52.2,  9 867
53,Estimates,World,900,,World,2002, 6 296 411, 6 337 730, 3 186 518, 3 151 213,48.6,101.1,25.5,67.1,64.6,69.6,50.6,  9 547
54,Estimates,World,900,,World,2003, 6 379 050, 6 420 362, 3 228 411, 3 191 951,49.2,101.1,25.7,67.4,65,69.9,48.8,  9 200
55,Estimates,World,900,,World,2004, 6 461 673, 6 503 378, 3 270 594, 3 232 784,49.9,101.2,25.9,67.7,65.3,70.3,47.2,  8 936
56,Estimates,World,900,,World,2005, 6 545 082, 6 586 970, 3 313 000, 3 273 970,50.5,101.2,26.1,68.1,65.7,70.7,45.4,  8 605
57,Estimates,World,900,,World,2006, 6 628 858, 6 671 452, 3 355 913, 3 315 539,51.2,101.2,26.3,68.6,66.1,71.2,43.7,  8 294
58,Estimates,World,900,,World,2007, 6 714 046, 6 757 309, 3 399 561, 3 357 748,51.8,101.2,26.5,69,66.5,71.6,42,  8 024
59,Estimates,World,900,,World,2008, 6 800 572, 6 844 458, 3 443 714, 3 400 743,52.5,101.3,26.7,69.3,66.8,71.9,40.4,  7 821
60,Estimates,World,900,,World,2009, 6 888 344, 6 932 766, 3 488 237, 3 444 530,53.2,101.3,27,69.7,67.1,72.3,39.1,  7 625
61,Estimates,World,900,,World,2010, 6 977 189, 7 021 732, 3 533 139, 3 488 594,53.8,101.3,27.2,70.1,67.6,72.7,37.7,  7 351
62,Estimates,World,900,,World,2011, 7 066 275, 7 110 924, 3 578 459, 3 532 465,54.5,101.3,27.4,70.4,67.9,73,36.8,  7 213
63,Estimates,World,900,,World,2012, 7 155 572, 7 201 202, 3 624 480, 3 576 723,55.2,101.3,27.6,70.8,68.3,73.4,35,  6 899
64,Estimates,World,900,,World,2013, 7 246 832, 7 291 794, 3 670 601, 3 621 192,55.9,101.4,27.8,71.1,68.6,73.7,33.9,  6 659
65,Estimates,World,900,,World,2014, 7 336 755, 7 381 616, 3 716 191, 3 665 425,56.6,101.4,28.1,71.4,68.9,74,32.9,  6 486
66,Estimates,World,900,,World,2015, 7 426 478, 7 470 492, 3 761 327, 3 709 165,57.3,101.4,28.3,71.6,69.1,74.2,32.1,  6 298
67,Estimates,World,900,,World,2016, 7 514 506, 7 558 555, 3 805 832, 3 752 722,58,101.4,28.5,71.9,69.3,74.5,31.1,  6 105
68,Estimates,World,900,,World,2017, 7 602 603, 7 645 618, 3 849 386, 3 796 232,58.6,101.4,28.8,72.1,69.5,74.7,30.3,  5 920
69,Estimates,World,900,,World,2018, 7 688 633, 7 729 903, 3 891 359, 3 838 544,59.3,101.4,29,72.4,69.8,75,29.7,  5 649
70,Estimates,World,900,,World,2019, 7 771 173, 7 811 294, 3 931 909, 3 879 385,59.9,101.4,29.3,72.6,70.1,75.2,29.2,  5 467
71,Estimates,World,900,,World,2020, 7 851 415, 7 887 001, 3 969 229, 3 917 772,60.5,101.3,29.6,71.9,69.3,74.7,28.7,  5 240
72,Estimates,World,900,,World,2021, 7 922 588, 7 954 448, 4 002 148, 3 952 300,61,101.3,29.8,70.9,68.3,73.5,28.4,  5 107
73,Estimates,World,900,,World,2022, 7 986 309, 8 021 407, 4 035 008, 3 986 399,61.5,101.2,30.1,72.6,70,75.4,28.2,  5 055
74,Estimates,World,900,,World,2023, 8 056 506, 8 091 735, 4 069 352, 4 022 383,62.1,101.2,30.4,73.2,70.5,75.9,27.3,  4 825
75,Estimates,Sustainable Development Goal (SDG) regions,1828,,Label/Separator,,...,...,...,...,...,...,...,...,...,...,...,...
76,Estimates,Sub-Saharan Africa,1834,,SDG region,1950,  175 982,  177 731,  88 310,  89 421,8.1,98.8,18,37.2,35.5,38.9,165.7,  2 594
77,Estimates,Sub-Saharan Africa,1834,,SDG region,1951,  179 480,  181 304,  90 044,  91 260,8.3,98.7,18,37.6,35.9,39.3,163.7,  2 596
78,Estimates,Sub-Saharan Africa,1834,,SDG region,1952,  183 129,  185 014,  91 853,  93 161,8.5,98.6,17.9,37.9,36.2,39.7,161.9,  2 608
79,Estimates,Sub-Saharan Africa,1834,,SDG region,1953,  186 899,  188 825,  93 714,  95 111,8.6,98.5,17.9,38.3,36.6,40.1,160.1,  2 625
80,Estimates,Sub-Saharan Africa,1834,,SDG region,1954,  190 752,  192 770,  95 644,  97 126,8.8,98.5,17.9,38.7,37,40.5,158.2,  2 645
81,Estimates,Sub-Saharan Africa,1834,,SDG region,1955,  194 788,  196 889,  97 660,  99 228,9,98.4,17.8,39.1,37.4,40.9,156.4,  2 665
82,Estimates,Sub-Saharan Africa,1834,,SDG region,1956,  198 989,  201 179,  99 762,  101 417,9.2,98.4,17.8,39.5,37.7,41.3,154.5,  2 686
83,Estimates,Sub-Saharan Africa,1834,,SDG region,1957,  203 368,  205 577,  101 918,  103 660,9.4,98.3,17.7,39.2,37.4,41,156.4,  2 784
84,Estimates,Sub-Saharan Africa,1834,,SDG region,1958,  207 787,  210 028,  104 099,  105 929,9.6,98.3,17.7,39.5,37.7,41.3,154.6,  2 803
85,Estimates,Sub-Saharan Africa,1834,,SDG region,1959,  212 270,  214 749,  106 416,  108 333,9.8,98.2,17.6,40.5,38.7,42.4,149.1,  2 748
86,Estimates,Sub-Saharan Africa,1834,,SDG region,1960,  217 228,  219 821,  108 903,  110 917,10.1,98.2,17.5,40.7,38.8,42.7,147.4,  2 777
87,Estimates,Sub-Saharan Africa,1834,,SDG region,1961,  222 413,  225 113,  111 490,  113 623,10.3,98.1,17.5,41,39,43.1,145.9,  2 810
88,Estimates,Sub-Saharan Africa,1834,,SDG region,1962,  227 813,  230 623,  114 187,  116 436,10.5,98.1,17.4,41.5,39.7,43.4,144.3,  2 845
89,Estimates,Sub-Saharan Africa,1834,,SDG region,1963,  233 434,  236 346,  116 995,  119 351,10.8,98,17.4,41.8,39.9,43.7,143,  2 885
90,Estimates,Sub-Saharan Africa,1834,,SDG region,1964,  239 258,  242 307,  119 921,  122 386,11.1,98,17.3,42.1,40.3,44.1,141.6,  2 919
91,Estimates,Sub-Saharan Africa,1834,,SDG region,1965,  245 357,  248 512,  122 966,  125 546,11.4,97.9,17.2,42.3,40.4,44.3,140.4,  2 964
92,Estimates,Sub-Saharan Africa,1834,,SDG region,1966,  251 667,  254 913,  126 109,  128 804,11.7,97.9,17.2,42.4,40.5,44.3,140.5,  3 038
93,Estimates,Sub-Saharan Africa,1834,,SDG region,1967,  258 158,  261 550,  129 368,  132 182,12,97.9,17.1,42.7,40.7,44.7,138,  3 051
94,Estimates,Sub-Saharan Africa,1834,,SDG region,1968,  264 941,  268 475,  132 773,  135 702,12.3,97.8,17,43.2,41.2,45.2,136.3,  3 076
95,Estimates,Sub-Saharan Africa,1834,,SDG region,1969,  272 009,  275 631,  136 300,  139 331,12.6,97.8,16.9,43.4,41.5,45.5,135,  3 119
96,Estimates,Sub-Saharan Africa,1834,,SDG region,1970,  279 252,  283 033,  139 951,  143 083,12.9,97.8,16.8,43.9,42.1,45.8,133.6,  3 156
97,Estimates,Sub-Saharan Africa,1834,,SDG region,1971,  286 814,  290 667,  143 731,  146 936,13.3,97.8,16.7,44.3,42.5,46.2,132.2,  3 194
98,Estimates,Sub-Saharan Africa,1834,,SDG region,1972,  294 520,  298 473,  147 607,  150 866,13.7,97.8,16.6,44.3,42.4,46.2,131.6,  3 253
99,Estimates,Sub-Saharan Africa,1834,,SDG region,1973,  302 426,  306 644,  151 660,  154 984,14,97.9,16.6,45,43.1,46.9,129.8,  3 273
100,Estimates,Sub-Saharan Africa,1834,,SDG region,1974,  310 862,  315 259,  155 934,  159 325,14.4,97.9,16.5,45.2,43.3,47.1,129.7,  3 351
101,Estimates,Sub-Saharan Africa,1834,,SDG region,1975,  319 656,  324 186,  160 356,  163 830,14.8,97.9,16.4,45.5,43.6,47.4,128.2,  3 389
102,Estimates,Sub-Saharan Africa,1834,,SDG region,1976,  328 716,  333 365,  164 895,  168 470,15.2,97.9,16.4,46.3,44.5,48.1,124.7,  3 356
103,Estimates,Sub-Saharan Africa,1834,,SDG region,1977,  338 015,  342 679,  169 491,  173 188,15.7,97.9,16.3,46.7,44.9,48.6,123.1,  3 387
104,Estimates,Sub-Saharan Africa,1834,,SDG region,1978,  347 343,  352 645,  174 389,  178 256,16.1,97.8,16.2,47,45.1,49,121.7,  3 424
105,Estimates,Sub-Saharan Africa,1834,,SDG region,1979,  357 947,  363 237,  179 598,  183 639,16.6,97.8,16.2,47.5,45.6,49.4,119.8,  3 455
106,Estimates,Sub-Saharan Africa,1834,,SDG region,1980,  368 526,  373 827,  184 880,  188 947,17.1,97.8,16.2,47.8,45.9,49.8,118.5,  3 499
107,Estimates,Sub-Saharan Africa,1834,,SDG region,1981,  379 128,  384 980,  190 447,  194 533,17.6,97.9,16.1,48,46.1,50,117.2,  3 541
108,Estimates,Sub-Saharan Africa,1834,,SDG region,1982,  390 832,  396 904,  196 345,  200 558,18.2,97.9,16.1,48.3,46.4,50.4,115.6,  3 581
109,Estimates,Sub-Saharan Africa,1834,,SDG region,1983,  402 975,  408 804,  202 261,  206 543,18.7,97.9,16.1,47.6,45.6,49.5,118.9,  3 809
110,Estimates,Sub-Saharan Africa,1834,,SDG region,1984,  414 633,  420 838,  208 249,  212 590,19.2,98,16.1,47.6,45.7,49.7,117.6,  3 844
111,Estimates,Sub-Saharan Africa,1834,,SDG region,1985,  427 044,  433 440,  214 553,  218 887,19.8,98,16.1,48,46,50,116,  3 870
112,Estimates,Sub-Saharan Africa,1834,,SDG region,1986,  439 836,  446 351,  221 048,  225 303,20.4,98.1,16.1,48.2,46.3,50.1,114.4,  3 898
113,Estimates,Sub-Saharan Africa,1834,,SDG region,1987,  452 866,  459 641,  227 734,  231 907,21,98.2,16.1,48.8,46.9,50.8,109.6,  3 797
114,Estimates,Sub-Saharan Africa,1834,,SDG region,1988,  466 416,  473 071,  234 492,  238 579,21.6,98.3,16.1,48.6,46.8,50.4,112.2,  3 994
115,Estimates,Sub-Saharan Africa,1834,,SDG region,1989,  479 725,  486 708,  241 335,  245 373,22.3,98.4,16.1,49.3,47.5,51.1,107.9,  3 882
116,Estimates,Sub-Saharan Africa,1834,,SDG region,1990,  493 691,  500 656,  248 331,  252 325,22.9,98.4,16.1,49.2,47.3,51,107.3,  3 939
117,Estimates,Sub-Saharan Africa,1834,,SDG region,1991,  507 622,  514 585,  255 298,  259 287,23.5,98.5,16.2,48.9,47.2,50.7,108.5,  4 073
118,Estimates,Sub-Saharan Africa,1834,,SDG region,1992,  521 549,  528 795,  262 249,  266 546,24.2,98.4,16.2,48.8,47.1,50.5,107.7,  4 118
119,Estimates,Sub-Saharan Africa,1834,,SDG region,1993,  536 041,  543 581,  269 811,  273 770,24.9,98.6,16.2,49.2,47.5,51,104.6,  4 056
120,Estimates,Sub-Saharan Africa,1834,,SDG region,1994,  551 121,  558 242,  277 006,  281 236,25.5,98.5,16.2,46.9,44.9,49.1,104.6,  4 128
121,Estimates,Sub-Saharan Africa,1834,,SDG region,1995,  565 364,  573 223,  283 879,  289 344,26.2,98.1,16.3,49.7,48.1,51.3,102.3,  4 094
122,Estimates,Sub-Saharan Africa,1834,,SDG region,1996,  581 082,  588 870,  291 190,  297 680,26.9,97.8,16.2,49.7,48.1,51.3,101.1,  4 129
123,Estimates,Sub-Saharan Africa,1834,,SDG region,1997,  596 657,  604 641,  298 723,  305 918,27.7,97.6,16.2,49.9,48.3,51.4,99.5,  4 132
124,Estimates,Sub-Saharan Africa,1834,,SDG region,1998,  612 624,  620 975,  306 882,  314 093,28.4,97.7,16.3,49.6,48,51.2,98.5,  4 169
125,Estimates,Sub-Saharan Africa,1834,,SDG region,1999,  629 325,  637 793,  315 278,  322 516,29.2,97.8,16.3,50.3,48.7,51.9,95.4,  4 080
126,Estimates,Sub-Saharan Africa,1834,,SDG region,2000,  646 262,  655 013,  323 884,  331 129,30,97.8,16.4,51,49.6,52.3,92.9,  4 039
127,Estimates,Sub-Saharan Africa,1834,,SDG region,2001,  663 765,  672 817,  332 802,  340 015,30.8,97.9,16.4,51.3,50.1,52.5,90.4,  3 987
128,Estimates,Sub-Saharan Africa,1834,,SDG region,2002,  681 869,  691 216,  342 048,  349 168,31.6,98,16.5,51.7,50.5,52.9,87.9,  3 934
129,Estimates,Sub-Saharan Africa,1834,,SDG region,2003,  700 563,  710 235,  351 643,  358 592,32.5,98.1,16.5,52.3,51.1,53.4,85.1,  3 863
130,Estimates,Sub-Saharan Africa,1834,,SDG region,2004,  719 906,  729 935,  361 586,  368 349,33.4,98.2,16.6,52.9,51.7,54,82.2,  3 795
131,Estimates,Sub-Saharan Africa,1834,,SDG region,2005,  739 963,  750 263,  371 831,  378 432,34.3,98.3,16.6,53.4,52.2,54.6,79.5,  3 729
132,Estimates,Sub-Saharan Africa,1834,,SDG region,2006,  760 562,  771 165,  382 361,  388 804,35.3,98.3,16.6,54,52.8,55.2,76.8,  3 661
133,Estimates,Sub-Saharan Africa,1834,,SDG region,2007,  781 769,  792 726,  393 223,  399 503,36.3,98.4,16.7,54.7,53.4,55.9,74.2,  3 590
134,Estimates,Sub-Saharan Africa,1834,,SDG region,2008,  803 684,  814 994,  404 451,  410 543,37.3,98.5,16.7,55.3,54,56.7,71.8,  3 528
135,Estimates,Sub-Saharan Africa,1834,,SDG region,2009,  826 304,  837 773,  415 920,  421 853,38.3,98.6,16.7,55.3,53.7,57,70.2,  3 534
136,Estimates,Sub-Saharan Africa,1834,,SDG region,2010,  849 243,  861 277,  427 755,  433 522,39.4,98.7,16.8,56.5,55,58,67.5,  3 418
137,Estimates,Sub-Saharan Africa,1834,,SDG region,2011,  873 312,  885 444,  439 963,  445 482,40.5,98.8,16.9,56.7,55.2,58.2,67,  3 472
138,Estimates,Sub-Saharan Africa,1834,,SDG region,2012,  897 577,  910 128,  452 431,  457 697,41.6,98.8,16.9,57.7,56.1,59.2,63.6,  3 298
139,Estimates,Sub-Saharan Africa,1834,,SDG region,2013,  922 679,  935 556,  465 284,  470 271,42.8,98.9,17,58.2,56.5,59.8,61.7,  3 230
140,Estimates,Sub-Saharan Africa,1834,,SDG region,2014,  948 433,  961 284,  478 280,  483 004,44,99,17.1,58.4,56.6,60.1,60.7,  3 236
141,Estimates,Sub-Saharan Africa,1834,,SDG region,2015,  974 136,  987 406,  491 497,  495 909,45.2,99.1,17.1,58.8,57,60.5,59.4,  3 198
142,Estimates,Sub-Saharan Africa,1834,,SDG region,2016, 1 000 677, 1 013 769,  504 764,  509 005,46.4,99.2,17.2,59.1,57.4,60.9,57.9,  3 149
143,Estimates,Sub-Saharan Africa,1834,,SDG region,2017, 1 026 862, 1 040 454,  518 141,  522 313,47.6,99.2,17.3,59.5,57.6,61.3,56.7,  3 121
144,Estimates,Sub-Saharan Africa,1834,,SDG region,2018, 1 054 046, 1 068 012,  532 003,  536 009,48.8,99.3,17.4,60.2,58.4,62,54.4,  2 990
145,Estimates,Sub-Saharan Africa,1834,,SDG region,2019, 1 081 978, 1 096 034,  546 070,  549 964,50.1,99.3,17.5,60.5,58.6,62.4,53,  2 942
146,Estimates,Sub-Saharan Africa,1834,,SDG region,2020, 1 110 090, 1 124 522,  560 350,  564 171,51.4,99.3,17.7,60.6,58.6,62.6,51.1,  2 856
147,Estimates,Sub-Saharan Africa,1834,,SDG region,2021, 1 138 953, 1 153 271,  574 759,  578 512,52.7,99.4,17.8,60.1,58.2,62.1,50.1,  2 832
148,Estimates,Sub-Saharan Africa,1834,,SDG region,2022, 1 167 589, 1 182 164,  589 241,  592 923,54.1,99.4,17.9,61.1,59,63.2,49.9,  2 873
149,Estimates,Sub-Saharan Africa,1834,,SDG region,2023, 1 196 738, 1 212 229,  604 307,  607 922,55.4,99.4,18.1,62.1,60.1,64.1,47.5,  2 721
150,Estimates,Northern Africa and Western Asia,1833,,SDG region,1950,  98 814,  100 007,  50 214,  49 793,8,100.8,19.1,40.6,38.5,42.8,194.1,  1 530
151,Estimates,Northern Africa and Western Asia,1833,,SDG region,1951,  101 200,  102 460,  51 439,  51 021,8.2,100.8,19.1,41.4,39.4,43.7,190.5,  1 531
152,Estimates,Northern Africa and Western Asia,1833,,SDG region,1952,  103 720,  105 053,  52 740,  52 312,8.4,100.8,19.1,42.2,40.2,44.5,187.2,  1 535
153,Estimates,Northern Africa and Western Asia,1833,,SDG region,1953,  106 385,  107 771,  54 111,  53 660,8.6,100.8,19,42.9,40.9,45.1,184,  1 538
154,Estimates,Northern Africa and Western Asia,1833,,SDG region,1954,  109 158,  110 577,  55 524,  55 053,8.9,100.9,19,43.3,41,45.8,180.8,  1 537
155,Estimates,Northern Africa and Western Asia,1833,,SDG region,1955,  111 996,  113 449,  56 966,  56 483,9.1,100.9,18.9,44,41.7,46.5,177.5,  1 528
156,Estimates,Northern Africa and Western Asia,1833,,SDG region,1956,  114 902,  116 463,  58 475,  57 988,9.3,100.8,18.8,44.6,42.3,47.1,174.2,  1 516
157,Estimates,Northern Africa and Western Asia,1833,,SDG region,1957,  118 024,  119 588,  60 039,  59 550,9.6,100.8,18.7,45.1,42.8,47.6,171,  1 510
158,Estimates,Northern Africa and Western Asia,1833,,SDG region,1958,  121 153,  122 740,  61 614,  61 125,9.8,100.8,18.6,45.6,43.3,48.2,167.7,  1 498
159,Estimates,Northern Africa and Western Asia,1833,,SDG region,1959,  124 326,  125 998,  63 247,  62 752,10.1,100.8,18.5,46.3,44,48.9,164.2,  1 488
160,Estimates,Northern Africa and Western Asia,1833,,SDG region,1960,  127 670,  129 368,  64 939,  64 430,10.4,100.8,18.3,46.8,44.5,49.3,161,  1 480
161,Estimates,Northern Africa and Western Asia,1833,,SDG region,1961,  131 066,  132 804,  66 672,  66 132,10.6,100.8,18.1,47.6,45.3,50.1,157.3,  1 466
162,Estimates,Northern Africa and Western Asia,1833,,SDG region,1962,  134 541,  136 371,  68 483,  67 888,10.9,100.9,17.9,48.1,45.7,50.6,154,  1 471
163,Estimates,Northern Africa and Western Asia,1833,,SDG region,1963,  138 202,  140 074,  70 369,  69 705,11.2,101,17.7,49.1,46.9,51.4,150.3,  1 460
164,Estimates,Northern Africa and Western Asia,1833,,SDG region,1964,  141 946,  143 854,  72 301,  71 553,11.5,101,17.5,49.7,47.5,52,146.9,  1 445
165,Estimates,Northern Africa and Western Asia,1833,,SDG region,1965,  145 762,  147 675,  74 259,  73 416,11.8,101.1,17.4,50.2,48,52.6,143.6,  1 424
166,Estimates,Northern Africa and Western Asia,1833,,SDG region,1966,  149 588,  151 659,  76 272,  75 387,12.2,101.2,17.3,50.7,48.5,53.1,140.3,  1 402
167,Estimates,Northern Africa and Western Asia,1833,,SDG region,1967,  153 730,  155 850,  78 359,  77 491,12.5,101.1,17.2,51.2,48.9,53.6,137.2,  1 389
168,Estimates,Northern Africa and Western Asia,1833,,SDG region,1968,  157 971,  160 160,  80 513,  79 647,12.8,101.1,17.1,51.7,49.4,54.1,134.1,  1 374
169,Estimates,Northern Africa and Western Asia,1833,,SDG region,1969,  162 349,  164 579,  82 731,  81 848,13.2,101.1,17.1,52.2,49.9,54.6,131,  1 359
170,Estimates,Northern Africa and Western Asia,1833,,SDG region,1970,  166 809,  169 044,  84 995,  84 049,13.5,101.1,17.1,52.7,50.5,55.1,127.9,  1 344
171,Estimates,Northern Africa and Western Asia,1833,,SDG region,1971,  171 278,  173 587,  87 341,  86 246,13.9,101.3,17.1,53.3,51.1,55.7,124.7,  1 328
